product_id,product_name,price
1, Լոլիկ Խորոված,300
2,10 Չախոբիլի/ Խյուս /Օլիվյե,1300
3,11 Չախոբիլի/ Բրինձ /Օլիվյե,1300
4,12Բրինձ/Բանջարեղենային Խ/Վինեգրետ,1100
5,13Չախոբիլի/Հնդկաձավար/Թաբուլե,1300
6,14 Գրիլլ / Դեղին Կարտոֆիլ / Ամառային Աղցան ,1300
7,16 Բրինձ ռոստի Հրաշք Աղցան,1400
8,1Կարտոֆիլի Խյուս/Ալֆռեդո/Կաղամբով աղցան,1300
9,2Բրինձ/Հնդկական Հավ/Վինեգրետ,1086.25
10,3Չախոբիլի/Հնդկաձավար/Օլիվյե,1300
11,4Կարտոֆիլի Խյուս Կիևյան Կոտլետ Ամառային աղցան,1300
12,5Ոսպ Աջիկայով/Կորեական/Օլիվյե,1100
13,7 Ֆրի/Տնական Կոտլետ/Ծովախոցգետնով Աղցան,1400
14,8Դեղին Կարտոֆիլ/Մեքսիկանո/Կաղամբով,1100
15,9Գունավոր Բրինձ/Օստրի/Քամած Մածունով Աղցան,1300
16,Americano,602.46
17,Americano Milk,700
18,BBQ Սոուս,150
19,Beef Burger,1600
20,"Beef Burger-Ֆրի-Կոլա Լցնովի 0,5",2100
21,"Beef Burger-Ֆրի-Կոկա 0,5",2100
22,"Beef Burger-Ֆրի-Ֆանտա 0,5",2100
23,Black Tea,435.71
24,Boom Best,350
25,Burger Kids,950
26,Cafe Glace,1050
27,Capuchino,900
28,Caramel Cappuccino,1000
29,Chicken Burger,1202.22
30,"Chicken Burger-Ֆրի-Կոլա 0,5",1850
31,"Chicken Burger-Ֆրի-Կոլա Լցնովի 0,5",1850
32,"Chicken Burger-Ֆրի-Սպրայթ 0,5",1850
33,"Chicken Burger-Ֆրի-Ֆանտա 0,5",1850
34,Chocolate Cappuccino,1000
35,Citrus  Lemonade,1221.82
36,Citrus Mix Ice Tea,600
37,Double Espresso,650
38,Espresso,500
39,Flat white,1200
40,Frappe,900
41,Frapuchino,1300
42,Green Tea ,404
43,"Heineken 0,33լ Լցնովի",1210
44,"Heineken 0,5լ Լցնովի",1760
45,Hot Chocholate,800
46,Latte,900
47,Latte Maciato,900
48,Maccoffee,300
49,Moca,1000
50,Nescafe,401.32
51,Nuggets Burger,1350
52,"Nuggets Burger-Ֆրի-Կոկա 0,5",1900
53,Oreo Milkshake,900
54,Peach Ice Tea,600
55,Red Bull 0.25լ,1100
56,Tea Մալինա,400
57,Tea Սև Հաղարջ,400
58,Ալֆռեդո Լանչի,500
59,Աղբյուրի ջուր Նոյ 0.5 Պլ ,200
60,Աղցան Ամառային Թթվասերով ,700
61,Աղցան Բազուկ Ֆետայով,700
62,Աղցան բազուկով սալորաչրով,800
63,Աղցան Բազուկով Սալորաչրով,1004
64,Աղցան Բրոկոլլիով ,850
65,Աղցան Դեգուստո,1181.4
66,Աղցան Դեգուստո ,1980
67,Աղցան Թաբուլե,610.3
68,Աղցան Թարմ Ամառային,1045
69,Աղցան Լոլիկով,600
70,Աղցան ծիածան,650
71,Աղցան Կեսար,884.26
72,Աղցան Կորեական,480.43
73,Աղցան Կրետե,1701.82
74,Աղցան Վինեգրետ,587.01
75,Աղցան քամած մածունով,750
76,Աղցան Օլիվյե,747.06
77,Ամառային Աղցան,595.73
78,Ամառային Աղցան  Լանչի,300
79,Այծի Պանիր,600
80,Աշխատակիցներ Սև Սուրճ,150
81,Ապարանի Գազավորված Թան 0.5,250
82,"Ապարանի Թան 0,33",250
83,Ապարանի Թան 0.5,300
84,Աջարական,1300
85,Աջարական Բաստուրմայով ,1507.89
86,Աջարական Երշիկով,1350
87,Աջարական Խաչապուրի,1540
88,Աջարական Սնկով,1400
89,Աջարական Վետչինայով,1400
90,Առաքում 1000,1000
91,Առաքում 500,500
92,Առաքում 700,699.44
93,Ասորտի Հաստ Խմորով,2500
94,Ասորտի Պիցցա,2417.14
95,Ավելուկով աղցան,900
96,Ավոկադոյով Աղցան,624
97,Ավոկադո-Ռուկոլայով  Լանչի,400
98,Ավոկադո-Ռուկոլայով Աղցան,1200
99,Արևելյան Քաբաբ,550
100,Արիշտա,520
101,Բազուկ Թխեմալիով Աղցան,500
102,Բաժակ Պլաստմասե ,50
103,Բալի  Կոմպոտ,250
104,Բալի Կոմպոտ,616.67
105,Բանան,507.14
106,Բանան Ֆռեշ,950
107,Բանան-Ելակ Ֆռեշ,1307.22
108,Բանան-ԿԻՎԻ Ֆռեշ,1000
109,Բանան-Նուտելլա Ֆռեշ,1100
110,Բանջարեղենային Գրիլ,800
111,Բանջարեղենային Գրիլլ,1320
112,Բանջարեղենային Խորոված ,914.3
113,Բանջարեղենային Խորոված Լանչի,300
