product,price
 Լոլիկ Խորոված,300.00
10 Չախոբիլի/ Խյուս /Օլիվյե,1300.00
11 Չախոբիլի/ Բրինձ /Օլիվյե,1300.00
12Բրինձ/Բանջարեղենային Խ/Վինեգրետ,1100.00
13Չախոբիլի/Հնդկաձավար/Թաբուլե,1300.00
14 Գրիլլ / Դեղին Կարտոֆիլ / Ամառային Աղցան ,1300.00
16 Բրինձ ռոստի Հրաշք Աղցան,1400.00
1Կարտոֆիլի Խյուս/Ալֆռեդո/Կաղամբով աղցան,1300.00
2Բրինձ/Հնդկական Հավ/Վինեգրետ,1086.25
3Չախոբիլի/Հնդկաձավար/Օլիվյե,1300.00
4Կարտոֆիլի Խյուս Կիևյան Կոտլետ Ամառային աղցան,1300.00
5Ոսպ Աջիկայով/Կորեական/Օլիվյե,1100.00
7 Ֆրի/Տնական Կոտլետ/Ծովախոցգետնով Աղցան,1400.00
8Դեղին Կարտոֆիլ/Մեքսիկանո/Կաղամբով,1100.00
9Գունավոր Բրինձ/Օստրի/Քամած Մածունով Աղցան,1300.00
Americano,602.46
Americano Milk,700.00
BBQ Սոուս,150.00
Beef Burger,1600.00
"Beef Burger-Ֆրի-Կոլա Լցնովի 0,5",2100.00
"Beef Burger-Ֆրի-Կոկա 0,5",2100.00
"Beef Burger-Ֆրի-Ֆանտա 0,5",2100.00
Black Tea,435.71
Boom Best,350.00
Burger Kids,950.00
Cafe Glace,1050.00
Capuchino,900.00
Caramel Cappuccino,1000.00
Chicken Burger,1202.22
"Chicken Burger-Ֆրի-Կոլա 0,5",1850.00
"Chicken Burger-Ֆրի-Կոլա Լցնովի 0,5",1850.00
"Chicken Burger-Ֆրի-Սպրայթ 0,5",1850.00
"Chicken Burger-Ֆրի-Ֆանտա 0,5",1850.00
Chocolate Cappuccino,1000.00
Citrus  Lemonade,1221.82
Citrus Mix Ice Tea,600.00
Double Espresso,650.00
Espresso,500.00
Flat white,1200.00
Frappe,900.00
Frapuchino,1300.00
Green Tea ,404.00
"Heineken 0,33լ Լցնովի",1210.00
"Heineken 0,5լ Լցնովի",1760.00
Hot Chocholate,800.00
Latte,900.00
Latte Maciato,900.00
Maccoffee,300.00
Moca,1000.00
Nescafe,401.32
Nuggets Burger,1350.00
"Nuggets Burger-Ֆրի-Կոկա 0,5",1900.00
Oreo Milkshake,900.00
Peach Ice Tea,600.00
Red Bull 0.25լ,1100.00
Tea Մալինա,400.00
Tea Սև Հաղարջ,400.00
Ալֆռեդո Լանչի,500.00
Աղբյուրի ջուր Նոյ 0.5 Պլ ,200.00
Աղցան Ամառային Թթվասերով ,700.00
Աղցան Բազուկ Ֆետայով,700.00
Աղցան բազուկով սալորաչրով,800.00
Աղցան Բազուկով Սալորաչրով,1004.00
Աղցան Բրոկոլլիով ,850.00
Աղցան Դեգուստո,1181.40
Աղցան Դեգուստո ,1980.00
Աղցան Թաբուլե,610.30
Աղցան Թարմ Ամառային,1045.00
Աղցան Լոլիկով,600.00
Աղցան ծիածան,650.00
Աղցան Կեսար,884.26
Աղցան Կորեական,480.43
Աղցան Կրետե,1701.82
Աղցան Վինեգրետ,587.01
Աղցան քամած մածունով,750.00
Աղցան Օլիվյե,747.06
Ամառային Աղցան,595.73
Ամառային Աղցան  Լանչի,300.00
Այծի Պանիր,600.00
Աշխատակիցներ Սև Սուրճ,150.00
Ապարանի Գազավորված Թան 0.5,250.00
"Ապարանի Թան 0,33",250.00
Ապարանի Թան 0.5,300.00
Աջարական,1300.00
Աջարական Բաստուրմայով ,1507.89
Աջարական Երշիկով,1350.00
Աջարական Խաչապուրի,1540.00
Աջարական Սնկով,1400.00
Աջարական Վետչինայով,1400.00
Առաքում 1000,1000.00
Առաքում 500,500.00
Առաքում 700,699.44
Ասորտի Հաստ Խմորով,2500.00
Ասորտի Պիցցա,2417.14
Ավելուկով աղցան,900.00
Ավոկադոյով Աղցան,624.00
Ավոկադո-Ռուկոլայով  Լանչի,400.00
Ավոկադո-Ռուկոլայով Աղցան,1200.00
Արևելյան Քաբաբ,550.00
Արիշտա,520.00
Բազուկ Թխեմալիով Աղցան,500.00
Բաժակ Պլաստմասե ,50.00
Բալի  Կոմպոտ,250.00
Բալի Կոմպոտ,616.67
Բանան,507.14
Բանան Ֆռեշ,950.00
Բանան-Ելակ Ֆռեշ,1307.22
Բանան-ԿԻՎԻ Ֆռեշ,1000.00
Բանան-Նուտելլա Ֆռեշ,1100.00
Բանջարեղենային Գրիլ,800.00
Բանջարեղենային Գրիլլ,1320.00
Բանջարեղենային Խորոված ,914.30
Բանջարեղենային Խորոված Լանչի,300.00
Բանջարեղենային Սոուս,100.00
Բանջարեղենի Ռագու,350.00
Բանջարեղենի Տեսականի,1870.00
Բաո Կրծքամսով,550.00
Բեֆստրոգանով,1408.24
Բիբար քաղցր,300.00
"Բյուրեղ 0,33լ ",330.00
"Բյուրեղ 0,5լ",200.00
Բյուրեղ 0.5,200.00
Բյուրեղ 1լ,300.00
Բոլոնեզ ,500.00
