company_id,link,title,phone,address,district,email
0,https://www.spyur.am//am/companies/as-tech---advanced-security-technologies/6669,«ԱՍ ԹԵՉ - ԱՆՎՏԱՆԳՈՒԹՅԱՆ ՀԱՄԱԿԱՐԳԵՐ» («ԱՍ ԹԵՔՆՈԼՈՋԻՍ» սահմանափակ պատասխանատվությամբ ընկերություն/ՍՊԸ),"['tel:+37460502428', 'tel:+37491108222']","Հայաստան, 0002, Երևան
Մաշտոցի պող., 24ա շենք",(Կենտրոն վարչ. շրջան),info@astech.am
1,https://www.spyur.am//am/companies/garoondesign-branding-agency/41983,«ԳԱՐՈՒՆ.ԴԻԶԱՅՆ» ԲՐԵՆԴԻՆԳԱՅԻՆ ԳՈՐԾԱԿԱԼՈՒԹՅՈՒՆ,"['tel:+37444417197', 'tel:+37498752226']","Հայաստան, 0010, Երևան
Վազգեն Սարգսյան փող., 26/2 շենք",(Կենտրոն վարչ. շրջան),Hello@garoon.design
2,https://www.spyur.am//am/companies/consigliere-accounting-and-consulting-company/40758,«ԿՈՆՍԻԼՅԵՐԻ» ՀԱՇՎԱՊԱՀԱԿԱՆ ԵՎ ԽՈՐՀՐԴԱՏՎԱԿԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ,"['tel:+37494750795', 'tel:+37411750755']","Հայաստան, 0005, Երևան
Տիգրան Մեծի պող., 67ա շենք, շինություն 2",(Էրեբունի վարչ. շրջան),anahit.mkrtchyan.cnslr@gmail.com
3,https://www.spyur.am//am/companies/unitech-trade-and-stock-control-automation-equipment-specialty-shop/34635,«ՅՈՒՆԻՏԵՔ» ԱՌԵՎՏՐԻ ԵՎ ՊԱՀԵՍՏԻ ԱՎՏՈՄԱՏԱՑՄԱՆ ՍԱՐՔԱՎՈՐՈՒՄՆԵՐԻ ՄԱՍՆԱԳԻՏԱՑՎԱԾ ԽԱՆՈՒԹ-ՍՐԱՀ,"['tel:+37411535500', 'tel:+37498535500']","Հայաստան, 0025, Երևան
Չարենցի փող., 113/1 շենք",(Կենտրոն վարչ. շրջան),info@unitech.am
4,https://www.spyur.am//am/companies/it-systems-computer-service-center/27817,«ԱՅ ԹԻ ՍԻՍԹԵՄՍ» ՀԱՄԱԿԱՐԳՉԱՅԻՆ ՍՊԱՍԱՐԿՄԱՆ ԿԵՆՏՐՈՆ սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),"['tel:+37493489113', 'tel:+37499489113']","Հայաստան, 0009, Երևան
Աբովյան փող., 27 շենք, 4-րդ հարկ",(Կենտրոն վարչ. շրջան),info@itsystems.am
5,https://www.spyur.am//am/companies/arakelyan-partners-consulting/33619,«ԱՌԱՔԵԼՅԱՆ ՓԱՐԹՆԵՐՍ ՔՈՆՍԱԼԹԻՆԳ»,"['tel:+37441829009', 'tel:+37410278720', 'tel:+37493729009', 'tel:+37443729009', 'tel:+37495729009']","Հայաստան, 0033, Երևան
Սունդուկյան փող., 7 շենք",(Արաբկիր վարչ. շրջան),info@apconsult.am
6,https://www.spyur.am//am/companies/gpsgamma/38969,«ՋԻՊԻԷՍԳԱՄՄԱ»,['tel:+37496202066'],"Հայաստան, 0012, Երևան
Վաղարշ Վաղարշյան փող., 24/7 շենք",(Արաբկիր վարչ. շրջան),info@gpsgamma.com
8,https://www.spyur.am//am/companies/hard-power-systems/5847,«ՀԱՐԴ ՓԱՈՒԵՐ ՍԻՍՏԵՄՍ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),"['tel:+37410551639', 'tel:+37498551639', 'tel:+37499551639']","Հայաստան, 0005, Երևան
Տիգրան Մեծի պող., 40 շենք",(Էրեբունի վարչ. շրջան),info@hps.am
9,https://www.spyur.am//am/companies/locator/6992,«ԼՈԿԱՏՈՐ» փակ բաժնետիրական ընկերություն (ՓԲԸ),"['tel:+37410285828', 'tel:+37460270101']","Հայաստան, 0014, Երևան
Ադոնցի փող., 8 շենք",(Արաբկիր վարչ. շրջան),info@locator.am
10,https://www.spyur.am//am/companies/velo-sms/40236,"«ՎԵԼՈ ԷՍ ԷՄ ԷՍ» (""VELO SMS"") («ԷԼԴԻԹԻ ԹԵՔՆՈԼՈՋԻ» սահմանափակ պատասխանատվությամբ ընկերություն/ՍՊԸ)",['tel:+37460443310'],"Հայաստան, 0069, Երևան
Ահարոնյան փող., 22 շենք",(Քանաքեռ-Զեյթուն վարչ. շրջան),sales@velosms.com
11,https://www.spyur.am//am/companies/union-of-advanced-technology-enterprises-uate/2980,ԱՌԱՋԱՏԱՐ ՏԵԽՆՈԼՈԳԻԱՆԵՐԻ ՁԵՌՆԱՐԿՈՒԹՅՈՒՆՆԵՐԻ ՄԻՈՒԹՅՈՒՆ (ԱՏՁՄ) հասարակական կազմակերպություն (ՀԿ),['tel:+37411548881'],"Հայաստան, 0015, Երևան
Ոսկերիչների փող., 1 շենք, 7-րդ հարկ («Մերիդիան» էքսպոկենտրոնի շենքում)",(Կենտրոն վարչ. շրջան),info@uate.org
12,https://www.spyur.am//am/companies/dimark-internet-marketing-company/35084,«ԴԻՄԱՐԿ» ԻՆՏԵՐՆԵՏ-ՄԱՐԿԵՏԻՆԳԱՅԻՆ ԸՆԿԵՐՈՒԹՅՈՒՆ,['tel:+37460614614'],"Հայաստան, 0033, Երևան
Մարշալ Բաղրամյան պող., 76/3 շենք",(Արաբկիր վարչ. շրջան),mail@dimark.am
13,https://www.spyur.am//am/companies/eco-step---solar-energy-solutions/42215,«ԷԿՈ ՍՏԵՊ - ԱՐԵՎԱՅԻՆ ԷՆԵՐԳԻԱՅԻ ԼՈՒԾՈՒՄՆԵՐ»,['tel:+37477388338'],"Հայաստան, 0076, Երևան
Նոր Նորքի 4-րդ զանգված, Գայի պող., 51 շենք, տարածք 46",(Նոր Նորք վարչ. շրջան),info@ecostep.am
14,https://www.spyur.am//am/companies/datacom/42845,«ԴԵՅԹԱՔՈՄ»,"['tel:+37455602702', 'tel:+37412602702']","Հայաստան, Երևան",,hello@datacom.am
15,https://www.spyur.am//am/companies/codewave/52455,«ԿՈԴՎԵՅՎ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),['tel:+37491090907'],"Հայաստան, 0054, Երևան
Սասնա Ծռեր փող., 2/2 շենք, շինություն 1",(Դավթաշեն վարչ. շրջան),info@codewave.am
16,https://www.spyur.am//am/companies/datanet/52619,«ԴԵՅԹԱՆԵԹ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),"['tel:+37443333376', 'tel:+37455444431']","Հայաստան, 0018, Երևան
Մովսես Խորենացու փող., 33/7 շենք",(Կենտրոն վարչ. շրջան),info@datanet.am
17,https://www.spyur.am//am/companies/base-studio/39880,«ԲԵՅՍ ՍՏՈՒԴԻՈ»,['tel:+37498750555'],"Հայաստան, 0028, Երևան
Քեռու փող., 83/2 շենք",(Արաբկիր վարչ. շրջան),info@itbase.am
18,https://www.spyur.am//am/companies/master-holding-marketing-and-programming-company/51431,«ՄԱՍՏԵՐ ՀՈԼԴԻՆԳ» ՄԱՐՔԵԹԻՆԳԱՅԻՆ ԵՎ ԾՐԱԳՐԱՎՈՐՄԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ,"['tel:+37496005910', 'tel:+37444590010']","Հայաստան, 0002, Երևան
Թումանյան փող., 38 շենք",(Կենտրոն վարչ. շրջան),info@masterholding.am
19,https://www.spyur.am//am/companies/art-vr-lab/53171,«ԱՐՏ ՎԻԱՐ ԼԱԲ»,['tel:+37441591111'],"Հայաստան, 0010, Երևան
Փավստոս Բուզանդի փող., 15 շենք",(Կենտրոն վարչ. շրջան),info@artvrlab.com
20,https://www.spyur.am//am/companies/gnc-alfa-telecommunication-company/7392,«ՋԻԷՆՍԻ-ԱԼՖԱ» ՀԵՌԱՀԱՂՈՐԴԱԿՑԱԿԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ,"['tel:+37460464646', 'tel:+37412464646']","Հայաստան, 2201, Կոտայքի մարզ, Աբովյան
Խաղաղության փող., 1 շենք",(Աբովյան համայնք),info@rtarmenia.am
21,https://www.spyur.am//am/companies/redinet/4727,«ՌԵԴԻՆԵՏ» փակ բաժնետիրական ընկերություն (ՓԲԸ),['tel:+37410249106'],"Հայաստան, 0014, Երևան
Ազատության պող., 24/7-24/8 շենք",(Քանաքեռ-Զեյթուն վարչ. շրջան),redinet@redinet.am
22,https://www.spyur.am//am/companies/ucom-telecommunication-company/5887,«ՅՈՒՔՈՄ» ՀԵՌԱՀԱՂՈՐԴԱԿՑՈՒԹՅԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ փակ բաժնետիրական ընկերություն (ՓԲԸ),['tel:+37411444444'],"Հայաստան, 0069, Երևան
Դավիթ Անհաղթի փող., 8/4 շենք",(Քանաքեռ-Զեյթուն վարչ. շրջան),444@ucom.am
23,https://www.spyur.am//am/companies/melinet/5846,«ՄԵԼԻՆԵԹ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),"['tel:+37460442442', 'tel:+37495171006', 'tel:+37499507711']","Հայաստան, 0014, Երևան
Մամիկոնյանց փող., 29 շենք, բն.29ա",(Արաբկիր վարչ. շրջան),info@melinet.net
24,https://www.spyur.am//am/companies/noventiq/6914,«ՆՈՎԵՆՏԻՔ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),"['tel:+37411555115', 'tel:+37411555005']","Հայաստան, 0019, Երևան
Խնկո-Ապոր փող., 1 շենք",(Արաբկիր վարչ. շրջան),info.am@softline.com
25,https://www.spyur.am//am/companies/f-net-telecom/28367,«ԷՖ ՆԵԹ ՏԵԼԵԿՈՄ»,['tel:+37411571616'],"Հայաստան, 0018, Երևան
Զավարյան փող., 57/4 շենք",(Կենտրոն վարչ. շրջան),info@fnet.com
27,https://www.spyur.am//am/companies/tel-cell/5767,«ԹԵԼ-ՍԵԼ» բաց բաժնետիրական ընկերություն (ԲԲԸ),"['tel:+37460272222', 'tel:+37460272223']","Հայաստան, 0033, Երևան
Հակոբ Հակոբյան փող., 3 շենք, 3-րդ հարկ (հիմնական մասնաշենքի 1-ին սեկցիայում)",(Արաբկիր վարչ. շրջան),info@telcell.am
28,https://www.spyur.am//am/companies/nikita-mobile/5474,«ՆԻԿԻՏԱ ՄՈԲԱՅԼ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),"['tel:+37410512888', 'tel:090000909']","Հայաստան, 0014, Երևան
Հրաչյա Ներսիսյան փող. փակուղի, 1 շենք, տարածք 103",(Քանաքեռ-Զեյթուն վարչ. շրջան),info@nikita.am
29,https://www.spyur.am//am/companies/lsoft/2133,«ԼՍՈՖՏ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),['tel:+37460656200'],"Հայաստան, 0010, Երևան
Փավստոս Բուզանդի փող., 1/3 շենք, 7-րդ հարկ",(Կենտրոն վարչ. շրջան),info@lsoft.am
30,https://www.spyur.am//am/companies/studio-one/7072,«ՍՏՈՒԴԻՈ ՈՒԱՆ»,['tel:+37460522378'],"Հայաստան, 0009, Երևան
Մաշտոցի պող., 45ա շենք",(Կենտրոն վարչ. շրջան),info@studio-one.am
31,https://www.spyur.am//am/companies/it-spark/25246,«ԻՏՍՊԱՐԿ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),"['tel:+37411710101', 'tel:+37444720101']","Հայաստան, 0078, Երևան
Հալաբյան փող., 65/5 շենք, 1-ին հարկ («ՌեԱրմենիա» բիզնես-կենտրոնի շենքում)",(Աջափնյակ վարչ. շրջան),Info@ats.am
32,https://www.spyur.am//am/companies/vtg-software/25945,«ՎԻԹԻՋԻ ՍՈՖԹՈՒԵՐ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),['tel:+37411200371'],"Հայաստան, 0015, Երևան
Մաշտոցի պող., 3 շենք, բն.25",(Կենտրոն վարչ. շրջան),info@vtgsoftware.com
33,https://www.spyur.am//am/companies/ucraft/35831,"«ՅՈՒՔՐԱՖԹ» (""UCRAFT"")",['tel:+37411546000'],"Հայաստան, 0011, Երևան
Նորք, Գարեգին Հովսեփյան փող., 20 շենք",(Նորք-Մարաշ վարչ. շրջան),support@ucraft.com
34,https://www.spyur.am//am/companies/special/52527,«ՍՊԵՍԻԱԼ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),"['tel:+37455094388', 'tel:+37477211288']","Հայաստան, 0065, Երևան
Տիչինայի փող., 43/1 շենք",(Մալաթիա-Սեբաստիա վարչ. շրջան),info@rs-group.am
35,https://www.spyur.am//am/companies/gurus-contract-research-organization-cro/46265,«ԳՈՒՐՈՒՍ» ՊԱՅՄԱՆԱԳՐԱՅԻՆ ՀԵՏԱԶՈՏԱԿԱՆ ԿԱԶՄԱԿԵՐՊՈՒԹՅՈՒՆ սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),['tel:+37411585555'],"Հայաստան, 0014, Երևան
Ահարոնյան փող., 51 շենք",(Քանաքեռ-Զեյթուն վարչ. շրջան),info@thegurus.am
36,https://www.spyur.am//am/companies/dom-daniel/5461,«ԴՈՄ-ԴԵՆԻԵԼ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),"['tel:+37410502999', 'tel:+37491411659']","Հայաստան, 0019, Երևան
Մարշալ Բաղրամյան պող., 17 շենք, 2-րդ հարկ",(Կենտրոն վարչ. շրջան),info@dom-daniel.com
37,https://www.spyur.am//am/companies/globbing/36064,«ԳԼՈԲԲԻՆԳ» («ԳԼՈԲԱԼ ՇԻՓՓԻՆԳ» սահմանափակ պատասխանատվությամբ ընկերություն/ՍՊԸ),['tel:+37460616616'],"Հայաստան, 0051, Երևան
Հրաչյա Քոչարի փող., 44/53 շենք",(Արաբկիր վարչ. շրջան),info@globbing.com
40,https://www.spyur.am//am/companies/mobbis/5406,«ՄՈԲԲԻՍ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),"['tel:+37460530355', 'tel:+37499530355']","Հայաստան, 0052, Երևան
Ծարավ Աղբյուրի փող., 55/5 շենք, տարածք 323",(Ավան վարչ. շրջան),info@mobbis.mobi
41,https://www.spyur.am//am/companies/sahak-service-computer-service-center/6181,«ՍԱՀԱԿ-ՍԵՐՎԻՍ» ՀԱՄԱԿԱՐԳԻՉՆԵՐԻ ՍՊԱՍԱՐԿՄԱՆ ԿԵՆՏՐՈՆ,"['tel:+37412203203', 'tel:+37411203203']","Հայաստան, 0033, Երևան
Մարշալ Բաղրամյան պող., 69 շենք",(Արաբկիր վարչ. շրջան),info@sahak.am
42,https://www.spyur.am//am/companies/step-logic-yug/6249,«ՍՏԵՊ ԼՈՋԻԿ ՅՈՒԳ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),['tel:+37460747475'],"Հայաստան, 0015, Երևան
Արգիշտիի փող., 7 շենք, 4-րդ հարկ (Մոսկվայի տան շենքում)",(Կենտրոն վարչ. շրջան),info@steplogic.am
43,https://www.spyur.am//am/companies/soft-time/28366,«ՍՈՖԹ ԹԱՅՄ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),"['tel:+37410505105', 'tel:+37494818501']","Հայաստան, 0009, Երևան
Սարմենի փող., 1 շենք",(Կենտրոն վարչ. շրջան),info@softtime.am
44,https://www.spyur.am//am/companies/praemium-ra/39982,«ՓՐԱԵՄԻՈՒՄ ՌԱ»,['tel:+37495270698'],"Հայաստան, 0070, Երևան
Ալեք Մանուկյան փող., 9 շենք, 3-րդ հարկ (Ամերիկյան համալսարանի բիզնես-կենտրոնի շենքում)",(Կենտրոն վարչ. շրջան),support@praemium.com.au
45,https://www.spyur.am//am/companies/avromic/40066,«ԱՎՌՈՄԻԿ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),['tel:+37444431431'],"Հայաստան, 0005, Երևան
Արցախի փող., 23 շենք, տարածք 26/1",(Էրեբունի վարչ. շրջան),support@avromic.com
46,https://www.spyur.am//am/companies/cybersec/37125,«ԿԻԲԵՐՍԵԿ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),['tel:+37460449994'],"Հայաստան, 0010, Երևան
Խանջյան փող., 11 շենք",(Կենտրոն վարչ. շրջան),info@cybersec.am
47,https://www.spyur.am//am/companies/zuck-independent-agency/41219,«ՑՈՒԿ ԻՆԴԻՓԵՆԴԵՆԹ ԷՅՋՆՍԻ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),"['tel:+37411388633', 'tel:+37495388633']","Հայաստան, 0033, Երևան
Մարշալ Բաղրամյան պող., 59 շենք, 4-րդ հարկ",(Արաբկիր վարչ. շրջան),info@zuckagency.com
48,https://www.spyur.am//am/companies/at-automation/34567,«ԷՅ ԹԻ ԱՈՒԹՈՄԵՅՇՆ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),"['tel:+37411707757', 'tel:+37491367699']","Հայաստան, 0012, Երևան
Վաղարշ Վաղարշյան փող., 12ա շենք, 2-րդ հարկ, սեն.210",(Արաբկիր վարչ. շրջան),info@atautomation.am
50,https://www.spyur.am//am/companies/clinsoft/45905,«ՔԼԻՆՍՈՖԹ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),['tel:+37444659009'],"Հայաստան, 0011, Երևան
Նորք, Գարեգին Հովսեփյան փող., 26/8 շենք",(Նորք-Մարաշ վարչ. շրջան),info@clinsoftcsd.com
51,https://www.spyur.am//am/companies/infosec/49326,«ԻՆՖՈՍԵԿ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),['tel:+37460666666'],"Հայաստան, 0009, Երևան
Իսահակյան փող., 28 շենք, 3-րդ հարկ",(Կենտրոն վարչ. շրջան),info@infosec.am
52,https://www.spyur.am//am/companies/constant-consulting/27564,«ԿՈՆՍՏԱՆՏ ԿՈՆՍԱԼԹԻՆԳ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),"['tel:+37441102428', 'tel:+37477626572']","Հայաստան, 0002, Երևան
Ամիրյան փող., 24/28 շենք",(Կենտրոն վարչ. շրջան),info@constant.am
53,https://www.spyur.am//am/companies/numlock/53658,«ՆԱՄԼՈՔ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),['tel:+37460747476'],"Հայաստան, 0015, Երևան
Արգիշտիի փող., 7 շենք, սեն.502/1",(Կենտրոն վարչ. շրջան),info@numlock.am
54,https://www.spyur.am//am/companies/armenian-software-armsoft/1457,"«ՀԱՅԿԱԿԱՆ ԾՐԱԳՐԵՐ» (""ARMSOFT"") սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ)",['tel:+37460690901'],"Հայաստան, 0025, Երևան
Չարենցի փող., 1 շենք, 10-րդ հարկ",(Կենտրոն վարչ. շրջան),armsoft@armsoft.am
55,https://www.spyur.am//am/companies/irtek-legal-information-center/2373,«ԻՐՏԵԿ» ԻՐԱՎԱԿԱՆ ՏԵՂԵԿԱՏՎԱԿԱՆ ԿԵՆՏՐՈՆ փակ բաժնետիրական ընկերություն (ՓԲԸ),"['tel:+37411322080', 'tel:+37410322080', 'tel:+37491200059']","Հայաստան, 0033, Երևան
Ավետ Ավետիսյան փող., 63 շենք, տարածք 42/1 (մուտքը՝ Վաղարշյան փող. կողմից)",(Արաբկիր վարչ. շրջան),info@irtek.am
56,https://www.spyur.am//am/companies/web-internet-provider/3209,«ՎԵԲ» ԻՆՏԵՐՆԵՏ-ԾԱՌԱՅՈՒԹՅՈՒՆՆԵՐԻ ՄԱՏԱԿԱՐԱՐ սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),['tel:+37460460222'],"Հայաստան, 0014, Երևան
Կոմիտասի պող., 60 շենք",(Արաբկիր վարչ. շրջան),info@web.am
58,https://www.spyur.am//am/companies/webmaker-studio/25714,«ՎԵԲՄԵՅՔԵՐ ՍՏՈՒԴԻՈ»,"['tel:+37460705050', 'tel:+37493544014']","Հայաստան, 0025, Երևան
Չարենցի փող., 21 շենք",(Կենտրոն վարչ. շրջան),studio@webmaker.am
59,https://www.spyur.am//am/companies/telecom-armenia/1217,«ՏԵԼԵԿՈՄ ԱՐՄԵՆԻԱ» բաց բաժնետիրական ընկերություն (ԲԲԸ),['tel:+37410410410'],"Հայաստան, 0014, Երևան
Ազատության պող., 24/1 շենք",(Արաբկիր վարչ. շրջան),info@team.am
60,https://www.spyur.am//am/companies/informatic-solution-banking-system-maintenance-center/3313,«ԻՆՖՈՐՄԱՏԻԿ ՍՈԼՈՒՇՆ» ԲԱՆԿԱՅԻՆ ՀԱՄԱԿԱՐԳԵՐԻ ՏԵԽՆԻԿԱԿԱՆ ՍՊԱՍԱՐԿՄԱՆ ԿԵՆՏՐՈՆ,['tel:+37460830303'],"Հայաստան, 0010, Երևան
Հանրապետության փող., 22 շենք",(Կենտրոն վարչ. շրջան),info@informaticssolution.com
61,https://www.spyur.am//am/companies/synopsys-armenia/3672,«ՍԻՆՈՓՍԻՍ ԱՐՄԵՆԻԱ» փակ բաժնետիրական ընկերություն (ՓԲԸ),['tel:+37410492100'],"Հայաստան, 0026, Երևան
Արշակունյաց պող., 41",(Շենգավիթ վարչ. շրջան),info@synopsis.com
63,https://www.spyur.am//am/companies/idram-internet-payment-system/6558,«ԻԴՐԱՄ» ԻՆՏԵՐՆԵՏ-ՎՃԱՐԱՅԻՆ ՀԱՄԱԿԱՐԳ,['tel:+37460700700'],"Հայաստան, 0010, Երևան
Նալբանդյան փող., 48/1 շենք («Սախարով» բիզնես-կենտրոնի շենքում)",(Կենտրոն վարչ. շրջան),info@idram.am
66,https://www.spyur.am//am/companies/armenian-card-arca-card-payment-system/2991,«ԱՐՄԵՆԻԱՆ ՔԱՐԴ» («ԱՐՔԱ») ՔԱՐՏԵՐՈՎ ՎՃԱՐՈՒՄՆԵՐԻ ՀԱՄԱԿԱՐԳ փակ բաժնետիրական ընկերություն (ՓԲԸ),['tel:+37410592222'],"Հայաստան, 0010, Երևան
Մովսես Խորենացու փող., 15 շենք («Էլիտ Պլազա» բիզնես-կենտրոնի շենքում)",(Կենտրոն վարչ. շրջան),info@arca.am
68,https://www.spyur.am//am/companies/instigate-design/4949,«ԻՆՍՏԻԳԵՅԹ ԴԻԶԱՅՆ» փակ բաժնետիրական ընկերություն (ՓԲԸ),['tel:+37460510710'],"Հայաստան, 0052, Երևան
Ծարավ Աղբյուրի փող., 134/1 շենք",(Քանաքեռ-Զեյթուն վարչ. շրջան),info@instigatedesign.com
69,https://www.spyur.am//am/companies/paradox/7009,«ՊԱՐԱԴՈՔՍ»,"['tel:+37493041002', 'tel:+37460434404']","Հայաստան, 0023, Երևան
Արշակունյաց պող., 2 շենք, 4-րդ հարկ, սեն.431",(Կենտրոն վարչ. շրջան),info@paradox.am
70,https://www.spyur.am//am/companies/scancity-trade-automation-equipment-specialized-shop/25557,«ՍԿԱՆՍԻԹԻ» ԱՌԵՎՏՐԻ ԱՎՏՈՄԱՏԱՑՄԱՆ ՍԱՐՔԱՎՈՐՈՒՄՆԵՐԻ ՄԱՍՆԱԳԻՏԱՑՎԱԾ ԽԱՆՈՒԹ-ՍՐԱՀ,"['tel:+37410532723', 'tel:+37499365016']","Հայաստան, 0015, Երևան
Սուրբ Գրիգոր Լուսավորչի փող., 12 շենք, տարածք 113",(Կենտրոն վարչ. շրջան),info@scancity.am
71,https://www.spyur.am//am/companies/zealous/29276,«ԶԵԼԸՍ» փակ բաժնետիրական ընկերություն (ՓԲԸ),"['tel:+37460445500,2001']","Հայաստան, 0052, Երևան
Ծարավ Աղբյուրի փող., 134/1 շենք",(Քանաքեռ-Զեյթուն վարչ. շրջան),letsgo@zealous.tech
72,https://www.spyur.am//am/companies/infoexpert/3679,«ԻՆՖՈԷՔՍՊԵՐՏ»,['tel:+37412533361'],"Հայաստան, 0033, Երևան
Վիկտոր Համբարձումյան փող., 113 շենք",(Արաբկիր վարչ. շրջան),info@infoexpert.am
74,https://www.spyur.am//am/companies/gs-monitoring/27592,«ԳՍ ՄՈՆԻԹՈՐԻՆԳ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),"['tel:+37443300900', 'tel:+37491409489', 'tel:+37441111104']","Հայաստան, 0014, Երևան
Վահե Վահյան փող., 33 շենք",(Քանաքեռ-Զեյթուն վարչ. շրջան),info@gs-monitoring.com
75,https://www.spyur.am//am/companies/helix-consulting/86760,«ՀԵԼԻՔՍ ԿՈՆՍԱԼՏԻՆԳ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),['tel:+37460508287'],"Հայաստան, 0010, Երևան
Պուշկինի փող., 38/1 շենք, 3-րդ հարկ",(Կենտրոն վարչ. շրջան),info@helix.am
76,https://www.spyur.am//am/companies/g-soft/30021,«ՋԻ ՍՈՖՏ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),"['tel:+37443610808', 'tel:+37460610808', 'tel:+37496639394']","Հայաստան, 0033, Երևան
Մարշալ Բաղրամյան պող., 70 շենք",(Արաբկիր վարչ. շրջան),saldepa@ggroup.am
78,https://www.spyur.am//am/companies/easy-pay/34549,«ԻԶԻ ՓԵՅ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),['tel:+37411261261'],"Հայաստան, 0014, Երևան
Ադոնցի փող., 8/171 շենք",(Արաբկիր վարչ. շրջան),info@easypay.am
79,https://www.spyur.am//am/companies/mattech/30562,«ՄԱՏՏԵՔ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),"['tel:+37460650505', 'tel:+37495543003']","Հայաստան, 0037, Երևան
Մարիա Յակոբսենի փող., 9 տուն",(Արաբկիր վարչ. շրջան),info@mattech.am
81,https://www.spyur.am//am/companies/root-itsp/5799,«ՐՈՒԹ ԱՅԹԻԷՍՓԻ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),"['tel:+37410380083', 'tel:+37491242242']","Հայաստան, 0038, Երևան
Հալաբյան փող., 33 շենք",(Աջափնյակ վարչ. շրջան),info@root.am
